id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
1195989290767470155,Copacabana,Private room,2,1,1,1,654.0,9,4.78,2
1196072740878727051,Leme,Entire home/apt,1,1,1,1,371.0,0,4.812309491059147,0
1196178790418802877,Itanhangá,Private room,2,2,1,2,650.0,3,5.0,2
1196244180896934510,Copacabana,Entire home/apt,4,1,2,3,710.0,16,4.94,0
1196277150884200923,Copacabana,Private room,1,1,1,1,250.0,1,5.0,2
1196295414820129837,Centro,Entire home/apt,2,1,1,1,814.0,1,5.0,0
1196328849264749693,Recreio dos Bandeirantes,Entire home/apt,2,1,1,1,250.0,1,5.0,0
1196364335126958463,Centro,Entire home/apt,3,1,1,2,393.0,22,5.0,0
1192993997370024512,Jacarepaguá,Entire home/apt,3,0,0,1,427.0,10,5.0,0
1193015198774762539,Centro,Entire home/apt,3,1,1,1,357.0,7,5.0,0
1193085585113436799,Jardim Carioca,Entire home/apt,12,3,3,4,1200.0,0,4.812309491059147,0
1193183322114280824,Freguesia (Jacarepaguá),Entire home/apt,4,1,2,2,830.0,3,5.0,0
1193225903644236059,Leblon,Entire home/apt,2,1,1,1,1229.0,0,4.812309491059147,0
1196432601678509557,Centro,Private room,2,1,3,1,154.0,0,4.812309491059147,2
1196453907011167886,Barra da Tijuca,Entire home/apt,4,2,2,2,863.0,2,5.0,0
1196476508762306314,Barra da Tijuca,Private room,3,1,1,2,979.0,0,4.812309491059147,2
1196476606373664918,Ipanema,Entire home/apt,5,2,2,3,803.0,6,5.0,0
1196546082560046875,Copacabana,Entire home/apt,3,1,1,2,684.0,2,5.0,0
1196547931297667399,Recreio dos Bandeirantes,Entire home/apt,4,1,1,1,449.0,3,5.0,0
1196558727004979561,Recreio dos Bandeirantes,Entire home/apt,3,1,1,1,451.0,15,5.0,0
1196596485993211036,Laranjeiras,Private room,2,1,1,1,240.0,1,5.0,2
1193367123280339829,Leblon,Private room,1,1,1,1,389.0,1,5.0,2
1193379503290259858,Centro,Entire home/apt,2,1,1,1,274.0,21,5.0,0
1193380564596364683,Copacabana,Entire home/apt,4,1,1,2,564.0,0,4.812309491059147,0
1193388637917433070,Centro,Entire home/apt,2,1,1,1,274.0,18,4.89,0
1193406254526491837,Copacabana,Entire home/apt,4,1,0,1,844.0,4,5.0,0
1196623959419188490,Barra da Tijuca,Entire home/apt,3,1,1,3,244.0,2,5.0,0
1196625465421861839,Botafogo,Private room,1,1,1,1,230.0,0,4.812309491059147,2
1196650167938615846,Copacabana,Entire home/apt,6,3,3,3,751.0,8,5.0,0
1196654310804179984,Botafogo,Private room,4,4,1,4,1000.0,0,4.812309491059147,2
1196682268878733690,Copacabana,Entire home/apt,5,1,1,2,1200.0,9,4.67,0
1196938596095818827,Jardim Carioca,Entire home/apt,6,1,2,2,189.0,1,3.0,0
1196938999255371692,Copacabana,Entire home/apt,4,2,2,2,1200.0,1,4.0,0
1196964443384525364,Barra da Tijuca,Entire home/apt,6,2,2,3,1000.0,0,4.812309491059147,0
1196965222533919632,Centro,Entire home/apt,2,1,1,2,214.0,1,5.0,0
1193412427554972708,Copacabana,Private room,2,0,1,1,285.0,1,5.0,2
1193429944628393682,Laranjeiras,Entire home/apt,2,1,1,1,366.0,2,5.0,0
1193444342390947192,Humaitá,Private room,2,1,1,1,674.0,0,4.812309491059147,2
1193477291754472641,Jacarepaguá,Entire home/apt,2,0,1,1,304.0,6,5.0,0
1193486749200838499,Flamengo,Entire home/apt,2,1,1,1,137.0,6,4.5,0
1193494505220108276,Barra da Tijuca,Entire home/apt,2,1,0,1,620.0,0,4.812309491059147,0
1193495314246023187,Centro,Entire home/apt,2,1,1,1,140.0,9,5.0,0
1193594142994537495,Camorim,Entire home/apt,3,1,1,1,1000.0,2,5.0,0
1193600575891918309,Centro,Private room,2,1,1,2,94.0,0,4.812309491059147,2
1193614156211656771,Centro,Entire home/apt,4,1,0,4,287.0,3,5.0,0
1196989963360579914,Jacarepaguá,Private room,3,1,1,2,350.0,0,4.812309491059147,2
1197019740373664246,Leme,Entire home/apt,4,1,1,2,551.0,0,4.812309491059147,0
1197022909088750867,Recreio dos Bandeirantes,Entire home/apt,7,2,2,4,851.0,4,5.0,0
1197048843818389089,Centro,Entire home/apt,2,1,1,1,435.0,29,4.93,0
1197060190692535045,Ipanema,Entire home/apt,2,1,0,1,740.0,5,5.0,0
1197075186864581104,Recreio dos Bandeirantes,Private room,4,1,1,2,800.0,0,4.812309491059147,2
1197076011929695814,Copacabana,Entire home/apt,4,2,2,3,600.0,10,5.0,0
1197077175320537905,Copacabana,Entire home/apt,4,1,1,3,950.0,8,5.0,0
1197100895752934657,Flamengo,Entire home/apt,4,1,1,2,541.0,11,4.91,0
1193615983916352341,Barra da Tijuca,Entire home/apt,6,2,3,3,1143.0,8,5.0,0
1193644744295233160,Ipanema,Private room,3,1,1,1,586.0,0,4.812309491059147,2
1193664837098883262,Copacabana,Entire home/apt,4,1,1,1,786.0,0,4.812309491059147,0
1193676631862795654,Guaratiba,Entire home/apt,4,2,2,2,886.0,1,4.0,0
1193699234130315461,Jacarepaguá,Entire home/apt,4,1,1,2,600.0,1,5.0,0
1193739726433737049,Recreio dos Bandeirantes,Private room,2,2,1,1,509.0,1,5.0,2
1193740384649317207,Recreio dos Bandeirantes,Entire home/apt,4,1,1,1,545.0,19,4.68,0
1193740884046250200,Leblon,Private room,3,1,1,1,251.0,27,5.0,2
1193787026471295959,Camorim,Entire home/apt,6,1,2,2,800.0,2,5.0,0
1193827368557873746,Botafogo,Entire home/apt,4,1,2,2,1276.0,3,5.0,0
1193840283842515013,Santa Teresa,Entire home/apt,3,1,1,2,480.0,0,4.812309491059147,0
1193889607309506273,Ipanema,Private room,2,2,1,3,981.0,7,4.43,2
1197138027881095058,Copacabana,Entire home/apt,5,1,3,4,946.0,1,5.0,0
1197139456166540756,Copacabana,Private room,2,0,1,1,710.0,0,4.812309491059147,2
1197228876912840009,Manguinhos,Private room,4,1,1,4,245.0,2,4.0,2
1197231931353228701,Leblon,Private room,2,1,1,1,800.0,0,4.812309491059147,2
1197251905057716873,Ipanema,Entire home/apt,3,1,1,1,779.0,16,4.81,0
1197345150449247670,Copacabana,Entire home/apt,2,1,1,1,700.0,11,5.0,0
1194076711385872226,Barra de Guaratiba,Entire home/apt,2,1,1,1,451.0,3,5.0,0
1194087600004995749,Barra da Tijuca,Entire home/apt,6,2,2,7,809.0,14,5.0,0
1194094134796301318,Copacabana,Entire home/apt,4,1,1,1,971.0,4,5.0,0
1194127157527003027,Copacabana,Entire home/apt,2,1,1,1,1180.0,0,4.812309491059147,0
1194142640697779428,Barra da Tijuca,Entire home/apt,6,3,2,2,544.0,0,4.812309491059147,0
1194162166712750975,Freguesia (Jacarepaguá),Entire home/apt,3,1,1,1,331.0,11,4.64,0
1194166500067495752,Copacabana,Entire home/apt,4,1,1,2,942.0,13,4.69,0
1194193384301329396,Recreio dos Bandeirantes,Entire home/apt,6,2,3,4,806.0,5,5.0,0
1194198553711444543,Jacarepaguá,Private room,2,1,1,1,299.0,0,4.812309491059147,2
1194208696164029816,Recreio dos Bandeirantes,Entire home/apt,5,2,2,2,757.0,17,5.0,0
1194246360226159318,Cachambi,Entire home/apt,4,1,0,2,200.0,7,4.86,0
1194267249738583313,Copacabana,Entire home/apt,4,1,2,4,1274.0,3,4.33,0
1197352220970385057,Camorim,Private room,2,2,2,1,371.0,3,5.0,2
1197359333410158072,Copacabana,Entire home/apt,3,1,1,1,531.0,13,4.85,0
1197367479807840006,Copacabana,Entire home/apt,2,1,1,1,1057.0,0,4.812309491059147,0
1197397892038613067,Copacabana,Entire home/apt,6,1,2,3,978.0,5,4.2,0
1197694628568081649,Jacarepaguá,Entire home/apt,4,1,1,1,800.0,3,4.33,0
1197772393305827721,Centro,Entire home/apt,2,1,1,1,630.0,3,5.0,0
1197803704117388816,Copacabana,Entire home/apt,3,1,1,1,900.0,9,5.0,0
1194308470860275181,Copacabana,Entire home/apt,5,1,1,1,1350.0,2,5.0,0
1194339724059653940,Copacabana,Entire home/apt,2,1,1,1,749.0,27,4.93,0
1194355725726538010,Centro,Entire home/apt,3,1,1,1,509.0,11,5.0,0
