id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
1202820914813619159,Jacarepaguá,Private room,2,5,1,2,700.0,1,5.0,2
1202821843915098466,Camorim,Entire home/apt,5,1,1,2,451.0,6,5.0,0
1202829098399767255,Copacabana,Entire home/apt,4,1,2,2,1171.0,0,4.812309491059147,0
1202835764966809545,Bangu,Entire home/apt,1,1,1,1,150.0,0,4.812309491059147,0
1200837777455955978,Copacabana,Entire home/apt,5,1,1,4,964.0,0,4.812309491059147,0
1203210779262418787,Barra da Tijuca,Entire home/apt,4,1,1,1,764.0,10,4.9,0
1203432043625519926,São Conrado,Private room,3,1,2,2,496.0,0,4.812309491059147,2
1203520203777201048,São Conrado,Private room,4,1,1,1,550.0,0,4.812309491059147,2
1203539153345087131,Maracanã,Entire home/apt,2,1,1,1,98.0,1,4.0,0
1203549278942958695,Barra da Tijuca,Entire home/apt,6,1,2,3,717.0,0,4.812309491059147,0
